Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2
#Gadhvi (He thought he was Gandhi),-2019.0,109 min,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande
#Yaaram,-2019.0,110 min,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj
...Aur Pyaar Ho Gaya,-1997.0,147 min,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan
...Yahaan,-2005.0,142 min,"Drama, Romance, War",7.4,"1,086",Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba
?: A Question Mark,-2012.0,82 min,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad
@Andheri,-2014.0,116 min,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu
1:1.6 An Ode to Lost Love,-2004.0,96 min,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover
1:13:7 Ek Tera Saath,-2016.0,120 min,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir
100 Days,-1991.0,161 min,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit
100% Love,-2012.0,166 min,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick
102 Not Out,-2018.0,102 min,"Comedy, Drama",7.4,"6,619",Umesh Shukla,Amitabh Bachchan,Rishi Kapoor
10ml LOVE,-2010.0,87 min,"Comedy, Drama, Romance",6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose
12 O'Clock,-1958.0,132 min,"Crime, Drama, Mystery",7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman
12 O'Clock,-2021.0,105 min,"Horror, Thriller",4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande
127 B,-2017.0,116 min,"Comedy, Horror",6.6,26,Seshu Kmr,Mast Ali,Aziz Naser
13B: Fear Has a New Address,-2009.0,146 min,"Drama, Horror, Mystery",7.3,"6,329",Vikram K. Kumar,Madhavan,Neetu Chandra
15 Park Avenue,-2005.0,116 min,Drama,7.1,"1,002",Aparna Sen,Shabana Azmi,Konkona Sen Sharma
15th August,-1993.0,168 min,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra
16 December,-2002.0,158 min,"Action, Thriller",6.9,"1,235",Mani Shankar,Milind Soman,Danny Denzongpa
18.11,-2014.0,126 min,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover
19 Revolutions,-2004.0,94 min,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover
1920,-2008.0,138 min,"Horror, Mystery, Romance",6.4,"3,100",Vikram Bhatt,Rajniesh Duggall,Adah Sharma
1920 London,-2016.0,120 min,"Horror, Mystery",4.1,"1,559",Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra
1920: Evil Returns,-2012.0,124 min,"Drama, Horror, Romance",4.8,"1,811",Bhushan Patel,Vicky Ahuja,Tia Bajpai
1921,-2018.0,144 min,"Horror, Mystery, Romance",4.5,"1,069",Vikram Bhatt,Zareen Khan,Karan Kundra
1942: A Love Story,-1994.0,157 min,"Action, Drama, History",7.2,"3,223",Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff
1971,-2007.0,136 min,"Action, Drama, War",8.1,"1,892",Amrit Sagar,Manoj Bajpayee,Ravi Kishan
1978: A Teen Night Out,-2019.0,107 min,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole
1982 - A Love Marriage,-2017.0,113 min,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna
2 Nights in Soul Valley,-2012.0,80 min,"Adventure, Horror, Mystery",6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma
2 October,-2003.0,122 min,"Action, Crime, Thriller",5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma
2 States,-2014.0,149 min,"Comedy, Drama, Romance",6.9,"24,034",Abhishek Varman,Arjun Kapoor,Alia Bhatt
2,-2018.0,148 min,"Action, Sci-Fi",6.2,"21,938",S. Shankar,Rajinikanth,Akshay Kumar
2001: Do Hazaar Ek,-1998.0,149 min,"Crime, Mystery, Thriller",3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia
2016 the End,-2017.0,130 min,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda
22 Days,-2018.0,124 min,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari
22 June 1897,-1979.0,121 min,"Drama, History",7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar
22 Yards,-2019.0,126 min,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray
23rd March 1931: Shaheed,-2002.0,188 min,"Biography, Drama, History",5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol
27 Down,-1974.0,115 min,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar
3 AM: A Paranormal Experience,-2014.0,103 min,"Horror, Romance",5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave
3 Bachelors,-2012.0,114 min,"Comedy, Romance",3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan
3 Deewarein,-2003.0,115 min,"Crime, Drama",7.8,"2,322",Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff
3 Dev,-2019.0,122 min,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey
3 Idiots,-2009.0,170 min,"Comedy, Drama",8.4,"357,889",Rajkumar Hirani,Aamir Khan,Madhavan
3 Storeys,-2018.0,100 min,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand
3.0 Megapixel,-2015.0,99 min,"Adventure, Drama",4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar
31st October,-2015.0,109 min,"Action, Drama, History",5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh
36 China Town,-2006.0,140 min,"Comedy, Mystery, Thriller",5.7,"4,373",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna
36 Chowringhee Lane,-1981.0,122 min,"Drama, Romance",7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee
376 D,-2020.0,128 min,"Crime, Thriller",5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar
377 AbNormal,-2019.0,93 min,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora
3D Saamri,-1985.0,102 min,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy
3G: A Killer Connection,-2013.0,125 min,"Horror, Sci-Fi, Thriller",3.6,"1,128",Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh
3rd EYE,-2019.0,145 min,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev
404: Error Not Found,-2011.0,121 min,"Drama, Mystery, Thriller",7.3,"2,548",Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah
417 Miles,-2016.0,75 min,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob
498A-The Wedding Gift,-2012.0,113 min,"Drama, Family, Musical",7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal
5 Ghantey Mien 5 Crore,-2012.0,111 min,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali
5 Rifles,-1974.0,134 min,"Action, Comedy",6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna
5ters: Castle of Dark Master,-2011.0,110 min,"Action, Adventure, Fantasy",4.6,19,G. Venugopal,Akash,Avinash
6-5=2,-2014.0,104 min,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala
68 Pages,-2007.0,92 min,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta
7 1/2 Phere: More Than a Wedding,-2005.0,136 min,"Comedy, Drama",5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan
7 Bijliyaan,-1988.0,126 min,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand
7 Hours to Go,-2016.0,115 min,"Crime, Thriller",5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic
7 Islands and a Metro,-2006.0,100 min,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna
7 Khoon Maaf,-2011.0,137 min,"Drama, Mystery, Thriller",6.1,"5,640",Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah
7 Saal Baad,-1987.0,127 min,"Drama, Horror, Musical",4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi
706,-2019.0,120 min,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta
72 Hours: Martyr Who Never Died,-2019.0,130 min,"Action, Biography, Drama",5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema
8 x 10 Tasveer,-2009.0,122 min,"Action, Fantasy, Mystery",5.4,"5,459",Nagesh Kukunoor,Akshay Kumar,Ayesha Takia
8119 Miles,-2021.0,115 min,"Adventure, Drama, Mystery",6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan
88 Antop Hill,-2003.0,119 min,"Mystery, Thriller",4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev
9 O' Clock,-2017.0,124 min,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami
99,-2009.0,135 min,"Comedy, Crime, Drama",7.3,"2,767",Krishna D.K.,Raj Nidimoru,Kunal Khemu
99 Songs,-2019.0,128 min,"Musical, Romance",7.4,"1,901",Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas
99.9 FM,-2005.0,90 min,"Crime, Drama",4.8,38,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia
A Billion Colour Story,-2016.0,105 min,Drama,8.1,412,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma
A Daughter's Tale PANKH,-2017.0,145 min,Drama,6.3,10,Premraaj,Rajinder Verma,Sunil Lahri
A Death in the Gunj,-2016.0,110 min,"Drama, Thriller",7.5,"4,637",Konkona Sen Sharma,Kalki Koechlin,Vikrant Massey
A Film by Aravind,-2005.0,150 min,"Horror, Mystery",6.8,179,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala
A Flat,-2010.0,103 min,"Drama, Horror, Romance",4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri
A Flying Jatt,-2016.0,151 min,"Action, Adventure, Comedy",3.0,"4,145",Remo D'Souza,Tiger Shroff,Jacqueline Fernandez
A Game Called Relationship,-2020.0,109 min,"Comedy, Romance",6.3,181,Vivek Sharma,Mandy Takhar,Vivek Sharma
A Gentleman,-2017.0,145 min,"Action, Comedy",6.2,"5,227",Krishna D.K.,Raj Nidimoru,Sidharth Malhotra
A Gift of Love: Sifar,-2019.0,95 min,"Drama, Romance",8.0,33,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran
A Journey of Samyak Buddha,-2013.0,127 min,Drama,7.3,17,Praveen Damle,Geeta Agrawal,Jyoti Bagat
A New Love Ishtory,-2013.0,140 min,Romance,6.0,80,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha
A Scandall,-2016.0,112 min,Thriller,3.1,142,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts
A Sublime Love Story: Barsaat,-2005.0,143 min,"Drama, Romance",3.8,627,Suneel Darshan,Bobby Deol,Bipasha Basu
A Thin Line,-2019.0,104 min,Drama,7.9,24,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy
A Wednesday,-2008.0,104 min,"Action, Crime, Drama",8.1,"75,118",Neeraj Pandey,Anupam Kher,Naseeruddin Shah
Aa Ab Laut Chalen,-1999.0,177 min,"Musical, Romance, Drama",5.5,"1,621",Rishi Kapoor,Rajesh Khanna,Akshaye Khanna
AA BB KK,-2018.0,121 min,Drama,8.0,249,Ramkumar Shedge,Shravani Abhang,Sajid Ali
Aa Dekhen Zara,-2009.0,117 min,"Action, Sci-Fi, Thriller",5.0,866,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu
Aa Gale Lag Jaa,-1973.0,148 min,"Action, Drama, Romance",7.2,348,Manmohan Desai,Shashi Kapoor,Sharmila Tagore
Aa Gale Lag Jaa,-1994.0,158 min,"Mystery, Romance",4.4,115,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar
Aa Gaya Hero,-2017.0,123 min,Action,2.7,339,Dipankar Senapati,Govinda,Richa Sharma
Aa Jao Please,-2016.0,120 min,Drama,6.8,16,Azad Jain,Neha Chauhan,Ganraj Jadhav
Aabra Ka Daabra,-2004.0,144 min,Fantasy,2.4,264,Dheeraj Kumar,Naveen Bawa,Prabhu Deva
Aabroo,-1968.0,170 min,"Comedy, Crime, Drama",5.5,21,C.L. Rawal,Ashok Kumar,Vimi
Aadamkhor,-2018.0,72 min,Horror,7.4,150,Kshitij Sharma,Deeya Dey,Anoma Pabuwal
Aadat Se Majboor,-1982.0,105 min,"Action, Crime, Drama",5.5,28,Ambrish Sangal,Mithun Chakraborty,Rameshwari
Aadha Din Aadhee Raat,-1977.0,132 min,Action,5.1,18,Doondi,Jalal Agha,Vinod Khanna
Aadhaar,-2019.0,107 min,Drama,7.6,69,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla
Aadharshila,-1982.0,154 min,Drama,6.4,19,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela
Aadhi Bhagavan,-2013.0,157 min,"Action, Crime, Thriller",5.4,568,Ameer Sultan,Jayam Ravi,Neetu Chandra
Aadhi Raat,-1950.0,115 min,"Drama, Romance",6.7,9,S.K. Ojha,Cuckoo,Jeevan
Aadmi,-1968.0,175 min,"Drama, Romance",6.8,196,A. Bhimsingh,Dilip Kumar,Waheeda Rehman
Aadmi,-1993.0,153 min,"Action, Crime, Drama",6.5,97,Arshad Khan,Ajit,Vikas Anand
Aadmi Aur Apsara,-1991.0,142 min,Fantasy,6.7,66,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi
Aadmi Aur Insaan,-1969.0,168 min,"Drama, Romance, Thriller",6.2,149,Yash Chopra,Dharmendra,Saira Banu
Aadmi Khilona Hai,-1993.0,158 min,"Drama, Romance",5.0,142,J. Om Prakash,Jeetendra,Reena Roy
Aadmi Ki Aurat Aur Anya Kahaniya,-2009.0,78 min,Drama,7.6,62,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra
Aadmi Sadak Ka,-1977.0,138 min,"Drama, Family",5.4,34,Devendra Goel,Shatrughan Sinha,Vikram Makandar
Aadupuliyattam,-2016.0,145 min,Horror,4.2,266,Kannan Thamarakkulam,Jayaram,Ramya Krishnan
Aafat,-1977.0,148 min,"Crime, Drama",5.3,17,Atma Ram,Navin Nischol,Leena Chandavarkar
Aag,-1948.0,138 min,"Musical, Romance",7.4,357,Raj Kapoor,Nargis,Kamini Kaushal
Aag,-1994.0,139 min,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra
Aag Aur Chingari,-1994.0,133 min,Action,4.1,13,Kanti Shah,Alpana,Aparajita
Aag Hi Aag,-1987.0,170 min,Action,5.3,93,Shibu Mitra,Dharmendra,Shatrughan Sinha
Aag Ka Gola,-1990.0,180 min,"Action, Drama",4.8,101,David Dhawan,Sunny Deol,Dimple Kapadia
Aag Ka Toofaan,-1993.0,137 min,Action,4.8,21,Kanti Shah,Dharmendra,Sadashiv Amrapurkar
Aag Ke Sholay,-1988.0,138 min,"Action, Thriller",3.4,7,S.R. Pratap,Bipasha,Hemant Birje
Aag Se Khelenge,-1989.0,151 min,Action,5.0,52,Subhash Ghai,Bhaskar Shetty,Jeetendra
Aage Maut Peeche Maut,-2001.0,78 min,Horror,3.1,7,A.T. Joy,Lekha Pande,Vimal Raj
Aagey Se Right,-2009.0,117 min,"Comedy, Crime, Drama",5.0,381,Indrajit Nattoji,Shreyas Talpade,Mahie Gill
Aaghaaz,-2000.0,153 min,"Action, Crime, Drama",4.2,274,Yogesh Ishwar,Sunil Shetty,Sushmita Sen
Aah,-1953.0,150 min,"Drama, Musical, Romance",7.2,275,Raja Nawathe,Nargis,Raj Kapoor
Aahuti,-1978.0,135 min,"Action, Drama",6.0,25,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor
Aaina,-1993.0,149 min,"Drama, Romance",6.0,448,Deepak Sareen,Jackie Shroff,Juhi Chawla
Aaina,-1977.0,150 min,Drama,6.8,94,K. Balachander,Mumtaz,Rajesh Khanna
Aaj,-1987.0,116 min,Drama,5.5,281,Mahesh Bhatt,Raj Babbar,Smita Patil
Aaj Aur Kal,-1963.0,144 min,"Drama, Romance",5.6,52,Vasant Joglekar,Ashok Kumar,Sunil Dutt
Aaj Ka Andha Kanoon,-2003.0,46 min,Action,3.1,15,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra
Aaj Ka Arjun,-1990.0,164 min,"Action, Crime, Drama",4.7,586,K.C. Bokadia,Amitabh Bachchan,Jaya Prada
Aaj Ka Daur,-1985.0,153 min,"Action, Drama",5.1,40,K. Bapaiah,Jackie Shroff,Padmini Kolhapure
Aaj Ka Goonda Raaj,-1992.0,147 min,"Action, Thriller",5.3,144,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri
Aaj Ka Mahaatma,-1976.0,170 min,"Action, Romance",3.5,23,Kundan Kumar,Randhir Kapoor,Rekha
Aaj Ka Ravan,-2000.0,128 min,"Action, Crime",4.3,31,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan
Aaj Ka Samson,-1991.0,123 min,"Action, Romance",3.1,14,Kukoo Kapoor,Hemant Birje,Sahila Chaddha
Aaj Kaa M.L.A. Ram Avtar,-1984.0,157 min,"Action, Drama",5.8,65,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi
Aaj Ke Angaarey,-1988.0,128 min,"Action, Drama",5.0,26,Babbar Subhash,Vinod K. Verma,Hemant Birje
Aaj Ke Shahenshah,-1990.0,132 min,Action,3.3,15,Shibu Mitra,Jeetendra,Raj Babbar
Aaj Ki Awaz,-1984.0,137 min,"Action, Drama, Crime",5.6,79,Ravi Chopra,Raj Babbar,Smita Patil
Aaja Meri Jaan,-1993.0,162 min,Romance,4.4,30,Ketan Anand,Krishan Kumar,Tanya Singh
Aaja Nachle,-2007.0,137 min,"Drama, Family, Music",6.2,"2,998",Anil Mehta,Madhuri Dixit,Darshan Jariwala
Aaja Sanam,-1968.0,121 min,"Drama, Romance",6.7,14,Yusuf Naqvi,Feroz Khan,Tanuja
Aakhree Raasta,-1986.0,164 min,"Action, Crime, Drama",7.1,"1,283",Bhagyaraj,Amitabh Bachchan,Sridevi
Aakhri Adaalat,-1988.0,148 min,"Action, Thriller",5.2,78,Rajiv Mehra,Vinod Khanna,Dimple Kapadia
Aakhri Baazi,-1989.0,149 min,"Action, Drama, Family",4.1,53,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee
Aakhri Badla,-1989.0,120 min,"Action, Crime, Drama",5.0,21,Mangal Chakravarty,Tom Alter,Yogeeta Bali
Aakhri Ghulam,-1989.0,171 min,"Action, Crime, Drama",4.9,34,Shibu Mitra,Mithun Chakraborty,Sonam
Aakhri Kasam,-1979.0,126 min,"Action, Thriller",6.3,7,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra
Aakhri Khat,-1966.0,153 min,Drama,6.9,122,Chetan Anand,Rajesh Khanna,Indrani Mukherjee
Aakhri Sangam,-1990.0,160 min,"Action, Romance",7.3,39,N.K. Vishwanathan,Nassar,Nirosha
Aakhri Sanghursh,-1997.0,138 min,Action,2.8,17,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran
Aakraman,-1975.0,139 min,"Drama, History, Romance",6.3,44,J. Om Prakash,Ashok Kumar,Sanjeev Kumar
Aakrosh,-1980.0,144 min,"Crime, Drama, Music",7.9,887,Govind Nihalani,Naseeruddin Shah,Smita Patil
Aakrosh,-2010.0,115 min,"Action, Crime, Thriller",7.0,"3,464",Priyadarshan,Ajay Devgn,Akshaye Khanna
Aalaap,-2012.0,116 min,Sci-Fi,5.4,26,Manish Manikpuri,Omkar Das Manikpuri,Pitobash
Aalavandhan,-2001.0,177 min,"Action, Thriller",7.2,"2,192",Suresh Krishna,Kamal Haasan,Raveena Tandon
Aalwar,-2007.0,152 min,Action,3.0,922,Chella,Ajith Kumar,Asin Thottumkal
Aamaar Bhuvan,-2018.0,107 min,"Drama, Family",7.7,72,Mrinal Sen,Saswata Chatterjee,Nandita Das
Aamdani Atthanni Kharcha Rupaiya,-2001.0,150 min,"Comedy, Drama, Family",4.8,"1,238",K. Raghavendra Rao,A.S. Ravindra Babu,Govinda
Aamir,-2008.0,99 min,"Action, Crime, Drama",7.7,"10,862",Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya
Aamne - Saamne,-1967.0,163 min,"Crime, Mystery, Romance",6.5,81,Suraj Prakash,Shashi Kapoor,Sharmila Tagore
Aamne Samne,-1982.0,143 min,"Action, Crime, Drama",6.4,53,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami
Aan Aur Shaan,-1984.0,130 min,Drama,6.4,37,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee
Aan Milo Sajna,-1970.0,177 min,"Drama, Musical, Romance",6.4,211,Mukul Dutt,Rajesh Khanna,Asha Parekh
Aan: Men at Work,-2004.0,149 min,"Action, Crime, Drama",5.7,"2,907",Madhur Bhandarkar,Akshay Kumar,Shatrughan Sinha
Aanch,-2003.0,160 min,Drama,5.6,102,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali
Aanchal,-1980.0,138 min,"Action, Drama, Family",6.4,58,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar
Aandhi,-1975.0,133 min,"Drama, Romance",8.1,"1,406",Gulzar,Suchitra Sen,Sanjeev Kumar
Aandhi-Toofan,-1985.0,144 min,Drama,6.1,49,Babbar Subhash,Shashi Kapoor,Hema Malini
Aandhiyan,-1952.0,136 min,Drama,7.4,30,Chetan Anand,Dev Anand,Nimmi
Aandhiyan,-1990.0,145 min,Drama,4.8,38,David Dhawan,Mumtaz,Prasenjit Chatterjee
Aani Maani,-2019.0,94 min,Drama,6.6,15,Fahim Irshad,Farrukh Seyer,Priyanka Verma
Aankhen,-1993.0,170 min,"Action, Comedy, Crime",6.7,"1,898",David Dhawan,Govinda,Chunky Panday
Aankhen,-2002.0,165 min,"Crime, Drama, Thriller",7.4,"12,574",Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar
Aankhon Aankhon Mein,-1972.0,154 min,"Drama, Romance",6.4,28,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan
Aansoo Aur Muskan,-1970.0,150 min,"Comedy, Drama, Family",6.5,24,P. Madhavan,Hema Malini,Parikshit Sahni
Aao Pyaar Karen,-1994.0,141 min,Romance,4.2,160,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra
Aao Wish Karein,-2009.0,140 min,"Comedy, Family, Fantasy",5.1,584,Glen Barreto,Aftab Shivdasani,Aamna Sharif
Aap Aye Bahaar Ayee,-1971.0,119 min,"Comedy, Drama, Romance",6.6,80,Mohan Kumar,Rajendra Kumar,Sadhana
Aap Beati,-1976.0,145 min,"Drama, Family",5.7,32,Mohan Kumar,Shashi Kapoor,Hema Malini
Aap Ki Kasam,-1974.0,153 min,"Romance, Drama",7.0,420,J. Om Prakash,Rajesh Khanna,Mumtaz
Aap Ki Khatir,-1977.0,115 min,"Action, Comedy, Drama",6.3,27,Sudhendu Roy,Vinod Khanna,Rekha
Aap Ki Khatir,-2006.0,122 min,"Comedy, Romance",3.6,863,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas
Aap Ki Parchhaiyan,-1964.0,128 min,"Drama, Family, Romance",6.3,39,Mohan Kumar,Dharmendra,Supriya Choudhury
Aap Mujhe Achche Lagne Lage,-2002.0,180 min,"Action, Drama, Romance",3.1,"2,366",Vikram Bhatt,Hrithik Roshan,Ameesha Patel
Aap To Aise Na The,-1980.0,145 min,"Romance, Drama, Family",5.6,38,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur
Aapas Ki Baat,-1981.0,148 min,"Action, Romance",5.2,17,Harmesh Malhotra,Poonam Dhillon,Raj Babbar
Aapko Pehle Bhi Kahin Dekha Hai,-2003.0,145 min,"Action, Comedy, Drama",4.5,273,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand
Aar Paar,-1985.0,125 min,Action,6.1,44,Shakti Samanta,Mithun Chakraborty,Rozina
Aar Ya Paar,-1997.0,180 min,Thriller,6.1,230,Ketan Mehta,Jackie Shroff,Deepa Sahi
Aarakshan,-2011.0,164 min,"Drama, Thriller",6.2,"5,170",Prakash Jha,Amitabh Bachchan,Saif Ali Khan
Aarop,-1974.0,129 min,Drama,6.7,13,Atma Ram,Vinod Khanna,Saira Banu
Aar-Paar,-1954.0,146 min,"Musical, Romance, Thriller",6.6,250,Guru Dutt,Shyama,Guru Dutt
Aarti,-1962.0,156 min,"Family, Musical, Romance",6.6,67,Phani Majumdar,Ashok Kumar,Meena Kumari
Aarya,-2007.0,157 min,"Action, Drama, Romance",4.6,191,Balasekaran,Bhavana,Madhavan
Aarzoo,-1999.0,175 min,"Drama, Romance",5.4,"1,445",Lawrence D'Souza,Madhuri Dixit,Akshay Kumar
Aasha,-1957.0,171 min,"Comedy, Romance",6.5,23,M.V. Raman,Vyjayanthimala,Kishore Kumar
Aasha,-1980.0,123 min,"Drama, Musical, Romance",5.3,199,J. Om Prakash,Jeetendra,Reena Roy
Aashayein,-2010.0,120 min,Drama,7.1,"1,259",Nagesh Kukunoor,John Abraham,Anaitha Nair
Aashiq,-1962.0,150 min,Romance,6.7,64,Hrishikesh Mukherjee,Raj Kapoor,Padmini
Aashiq,-2001.0,160 min,"Action, Drama, Romance",3.8,403,Indra Kumar,Bobby Deol,Karisma Kapoor
Aashiq Banaya Aapne: Love Takes Over,-2005.0,115 min,"Drama, Romance, Thriller",4.3,"1,569",Aditya Datt,Emraan Hashmi,Tanushree Dutta
Aashiq Hoon Baharon Ka,-1977.0,136 min,Romance,5.5,85,J. Om Prakash,Rajesh Khanna,Zeenat Aman
Aashiqui,-1990.0,152 min,"Musical, Drama, Romance",6.3,"1,661",Mahesh Bhatt,Rahul Roy,Anu Agrawal
Aashiqui 2,-2013.0,132 min,"Drama, Music, Musical",7.0,"27,357",Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor
Aashiqui.In,-2011.0,109 min,"Drama, Romance",3.7,61,Shankhadeep,Shubhi Ahuja,Amit Dhamija
Aashirwad,-1968.0,146 min,Drama,7.3,203,Hrishikesh Mukherjee,Ashok Kumar,Sanjeev Kumar
Aashmani Jawaharat,-2014.0,132 min,Drama,6.1,10,Sriparna Dey,Anamitra Roy,Anamitra Roy
Aasma,-2018.0,105 min,"Action, Crime, Drama",5.2,8,Sudipto Sen,Subrat Dutta,Ameet Gaurr
Aasma: The Sky Is the Limit,-2009.0,240 min,Drama,3.8,46,Rohit Krishnakant Nayyar,Hrishitaa Bhatt,Seema Biswas
Aasmaan,-1984.0,145 min,"Drama, Mystery",4.8,12,Tony Juneja,Rajiv Kapoor,Divya Rana
Aasmaan Mahal,-1965.0,172 min,Drama,5.5,6,Khwaja Ahmad Abbas,Prithviraj Kapoor,Dilip Roy
Aasmaan Se Gira,-1992.0,88 min,"Adventure, Comedy, Romance",6.8,56,Pankaj Parashar,Abhishek Chitlangia,Raghuvir Yadav
